INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('mauropasztor@yahoo.com', 'mauropasztor', '+3625181255', 'Mauró', 'Pásztor', TO_DATE('1943-03-12', 'yyyy-mm-dd'), 'Hungary', '1021', 'Budapest II. kerület', 'Zecher János utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('szergejtorok@live.com', 'szergejtorok', '+36705222408', 'Szergej', 'Török', TO_DATE('1954-11-15', 'yyyy-mm-dd'), 'Hungary', '1211', 'Budapest XXI. kerület', 'Hét vezér körút', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('abranfazekas@gmail.com', 'abranfazekas', '+36205281713', 'Ábrán', 'Fazekas', TO_DATE('1961-09-26', 'yyyy-mm-dd'), 'Hungary', '1081', 'Budapest VIII. kerület', 'Körösi Csoma Sándor köz', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('eltongal@outlook.com', 'eltongal', '+3625135427', 'Elton', 'Gál', TO_DATE('1968-05-02', 'yyyy-mm-dd'), 'Hungary', '1061', 'Budapest VI. kerület', 'Váci Mihály utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('szamantasoos@msn.com', 'szamantasoos', '+36705541555', 'Szamanta', 'Soós', TO_DATE('1949-01-30', 'yyyy-mm-dd'), 'Hungary', '1161', 'Budapest XVI. kerület', 'Móra Ferenc köz', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('sirabodnar@gmail.com', 'sirabodnar', '+3618710470', 'Sirá', 'Bodnár', TO_DATE('1961-06-27', 'yyyy-mm-dd'), 'Hungary', '6000', 'Kecskemét', 'Panoráma körút', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('malinaszalai@outlook.com', 'malinaszalai', '+36302029226', 'Malina', 'Szalai', TO_DATE('1967-07-10', 'yyyy-mm-dd'), 'Hungary', '1181', 'Budapest XVIII. kerület', 'Derkovits Gyula út', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('atonmagyar@gmail.com', 'atonmagyar', '+3625949856', 'Aton', 'Magyar', TO_DATE('2002-02-24', 'yyyy-mm-dd'), 'Hungary', '2800', 'Tatabánya', 'Gutenberg út', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('apostolantal@msn.com', 'apostolantal', '+3610196694', 'Apostol', 'Antal', TO_DATE('1980-06-05', 'yyyy-mm-dd'), 'Hungary', '1031', 'Budapest III. kerület', 'Zrínyi Miklós körút', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('borostyankozma@gmail.com', 'borostyankozma', '+36702491200', 'Borostyán', 'Kozma', TO_DATE('2003-03-14', 'yyyy-mm-dd'), 'Hungary', '1151', 'Budapest XV. kerület', 'Csillagfény köz', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('kiansarkozi@hotmail.com', 'kiansarkozi', '+36204133831', 'Kián', 'Sárközi', TO_DATE('1984-08-01', 'yyyy-mm-dd'), 'Hungary', '3100', 'Salgótarján', 'Szabadság tér', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('siraracz@live.com', 'siraracz', '+3616767183', 'Sirá', 'Rácz', TO_DATE('1996-07-18', 'yyyy-mm-dd'), 'Hungary', '9700', 'Szombathely', 'Csabagyöngye utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('abranolah@gmail.com', 'abranolah', '+3610890890', 'Ábrán', 'Oláh', TO_DATE('1954-11-29', 'yyyy-mm-dd'), 'Hungary', '1101', 'Budapest X. kerület', 'Bercsényi Miklós liget', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('szivarvanyfekete@outlook.com', 'szivarvanyfekete', '+3625424987', 'Szivárvány', 'Fekete', TO_DATE('1999-10-14', 'yyyy-mm-dd'), 'Hungary', '1031', 'Budapest III. kerület', 'Gábor Dénes köz', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('alisziajonas@gmail.com', 'alisziajonas', '+36203477825', 'Aliszia', 'Jónás', TO_DATE('1953-12-01', 'yyyy-mm-dd'), 'Hungary', '9000', 'Győr', 'Kodály Zoltán utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('kincsnemes@outlook.com', 'kincsnemes', '+36305062886', 'Kincs', 'Nemes', TO_DATE('1988-11-15', 'yyyy-mm-dd'), 'Hungary', '1021', 'Budapest II. kerület', 'Sport körút', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('szellofeher@outlook.com', 'szellofeher', '+36304256646', 'Szellő', 'Fehér', TO_DATE('1969-03-04', 'yyyy-mm-dd'), 'Hungary', '1161', 'Budapest XVI. kerület', 'Ezüstfenyő utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('orsiorsos@outlook.com', 'orsiorsos', '+3625236008', 'Orsi', 'Orsós', TO_DATE('1973-12-22', 'yyyy-mm-dd'), 'Hungary', '1111', 'Budapest XI. kerület', 'Babits Mihály körút', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('margitviragbiro@outlook.com', 'margitviragbiro', '+3619486690', 'Margitvirág', 'Biró', TO_DATE('1988-06-21', 'yyyy-mm-dd'), 'Hungary', '2800', 'Tatabánya', 'Tűzálló tér', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('atonbodnar@yahoo.com', 'atonbodnar', '+3625352943', 'Aton', 'Bodnár', TO_DATE('1985-03-06', 'yyyy-mm-dd'), 'Hungary', '9400', 'Sopron', 'Mese út', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('andreinadeak@gmail.com', 'andreinadeak', '+36701567855', 'Andreina', 'Deák', TO_DATE('1965-08-09', 'yyyy-mm-dd'), 'Hungary', '6800', 'Hódmezővásárhely', 'Móricz Zsigmond utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('cirjekbakos@msn.com', 'cirjekbakos', '+36206064227', 'Cirjék', 'Bakos', TO_DATE('1948-04-19', 'yyyy-mm-dd'), 'Hungary', '1131', 'Budapest XIII. kerület', 'Könyvtár utca', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('ibrahimbogdan@yahoo.com', 'ibrahimbogdan', '+36705000855', 'Ibrahim', 'Bogdán', TO_DATE('1953-05-07', 'yyyy-mm-dd'), 'Hungary', '4000', 'Debrecen', 'Orgona körút', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('filemongal@outlook.com', 'filemongal', '+3625960705', 'Filemon', 'Gál', TO_DATE('1962-09-26', 'yyyy-mm-dd'), 'Hungary', '5000', 'Szolnok', 'Virág út', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('cinellabalazs@hotmail.com', 'cinellabalazs', '+3616743170', 'Cinella', 'Balázs', TO_DATE('1980-03-02', 'yyyy-mm-dd'), 'Hungary', '9000', 'Győr', 'Szigeti út', 0)
INTO users (email, pwd, phone_num, first_name, last_name, birth_date, country, post_code, city, home_address, role_id) VALUES ('maurotamas@gmail.com', 'maurotamas', '+3625349968', 'Mauró', 'Tamás', TO_DATE('1978-12-01', 'yyyy-mm-dd'), 'Hungary', '1131', 'Budapest XIII. kerület', 'Gáztelep körút', 0)
